,,1,3,5,10,,top1,top3,top5,top10
14,21,0,0,0,0,,0,0,0,0
16,22,0,1,0,0,,0,1,1,1
17,22,0,1,0,0,,0,1,1,1
18,22,0,0,0,0,,0,0,0,0
19,22,0,1,0,0,,0,1,1,1
20,23,0,1,0,0,,0,1,1,1
23,23,0,1,0,0,,0,1,1,1
24,24,1,0,0,0,,1,1,1,1
26,24,0,0,0,0,,0,0,0,0
27,24,0,0,0,0,,0,0,0,0
28,24,0,0,0,0,,0,0,0,0
29,24,0,0,0,0,,0,0,0,0
32,27,0,0,0,0,,0,0,0,0
34,28,0,0,0,0,,0,0,0,0
36,30,0,0,0,1,,0,0,0,1
37,30,0,0,0,0,,0,0,0,0
38,30,1,0,0,0,,1,1,1,1
40,30,1,0,0,0,,1,1,1,1
41,30,1,0,0,0,,1,1,1,1
42,30,1,0,0,0,,1,1,1,1
45,31,0,1,0,0,,0,1,1,1
61,36,1,0,0,0,,1,1,1,1
63,37,0,0,0,0,,0,0,0,0
65,38,1,0,0,0,,1,1,1,1
67,38,1,0,0,0,,1,1,1,1
68,38,0,0,0,0,,0,0,0,0
69,38,1,0,0,0,,1,1,1,1
70,38,1,0,0,0,,1,1,1,1
71,38,0,0,0,0,,0,0,0,0
79,40,0,0,0,0,,0,0,0,0
81,41,0,0,0,0,,0,0,0,0
82,41,0,0,0,0,,0,0,0,0
83,41,0,0,0,0,,0,0,0,0
84,41,0,0,0,0,,0,0,0,0
85,41,0,0,0,0,,0,0,0,0
100,44,0,0,0,0,,0,0,0,0
107,46,0,0,0,0,,0,0,0,0
154,57,1,0,0,0,,1,1,1,1
156,57,0,0,0,1,,0,0,0,1
157,58,0,0,0,0,,0,0,0,0
164,62,0,0,0,0,,0,0,0,0
176,65,0,0,0,0,,0,0,0,0
178,65,0,0,0,0,,0,0,0,0
179,65,1,0,0,0,,1,1,1,1
180,65,1,0,0,0,,1,1,1,1
206,69,0,0,0,0,,0,0,0,0
219,74,0,0,0,0,,0,0,0,0
234,80,1,0,0,0,,1,1,1,1
236,80,0,0,0,0,,0,0,0,0
237,80,1,0,0,0,,1,1,1,1
248,84,0,0,0,0,,0,0,0,0
249,84,0,0,0,0,,0,0,0,0
250,84,0,0,0,0,,0,0,0,0
251,84,1,0,0,0,,1,1,1,1
252,84,0,0,0,0,,0,0,0,0
253,84,0,0,0,0,,0,0,0,0
257,85,1,0,0,0,,1,1,1,1
258,85,0,0,0,0,,0,0,0,0
259,85,0,1,0,0,,0,1,1,1
260,85,0,0,0,0,,0,0,0,0
261,86,0,0,0,0,,0,0,0,0
262,86,0,0,0,0,,0,0,0,0
264,86,0,0,0,1,,0,0,0,1
265,86,1,0,0,0,,1,1,1,1
267,86,0,0,1,0,,0,0,1,1
276,88,0,1,0,0,,0,1,1,1
278,88,0,0,0,1,,0,0,0,1
279,88,0,0,0,0,,0,0,0,0
281,88,0,0,0,0,,0,0,0,0
288,4,0,0,0,0,,0,0,0,0
296,91,0,0,0,1,,0,0,0,1
298,91,1,0,0,0,,1,1,1,1
299,4,0,0,0,0,,0,0,0,0
300,91,0,0,0,0,,0,0,0,0
301,91,1,0,0,0,,1,1,1,1
303,92,0,0,0,0,,0,0,0,0
304,92,0,0,0,1,,0,0,0,1
305,93,1,0,0,0,,1,1,1,1
307,93,0,0,0,1,,0,0,0,1
308,93,0,0,0,0,,0,0,0,0
309,93,0,1,0,0,,0,1,1,1
311,93,0,0,0,0,,0,0,0,0
321,4,0,0,0,0,,0,0,0,0
332,4,1,0,0,0,,1,1,1,1
341,97,0,0,0,0,,0,0,0,0
344,4,1,0,0,0,,1,1,1,1
354,101,0,1,0,0,,0,1,1,1
355,4,0,0,1,0,,0,0,1,1
356,101,0,0,0,1,,0,0,0,1
357,101,0,0,0,0,,0,0,0,0
358,101,0,0,0,0,,0,0,0,0
359,101,0,0,0,0,,0,0,0,0
360,101,1,0,0,0,,1,1,1,1
361,101,0,0,0,0,,0,0,0,0
363,101,0,0,0,0,,0,0,0,0
390,106,0,0,1,0,,0,0,1,1
391,106,0,0,1,0,,0,0,1,1
392,106,0,0,1,0,,0,0,1,1
393,106,1,0,0,0,,1,1,1,1
394,106,0,0,0,0,,0,0,0,0
395,106,0,0,0,0,,0,0,0,0
396,106,1,0,0,0,,1,1,1,1
397,106,0,0,1,0,,0,0,1,1
400,106,0,0,1,0,,0,0,1,1
401,106,0,0,0,1,,0,0,0,1
402,107,0,0,0,0,,0,0,0,0
404,108,1,0,0,0,,1,1,1,1
405,109,0,0,0,0,,0,0,0,0
406,109,0,0,0,0,,0,0,0,0
407,109,0,0,0,0,,0,0,0,0
409,109,0,0,0,0,,0,0,0,0
411,109,0,0,0,0,,0,0,0,0
413,110,1,0,0,0,,1,1,1,1
414,110,1,0,0,0,,1,1,1,1
415,110,0,0,0,0,,0,0,0,0
416,110,0,1,0,0,,0,1,1,1
425,114,0,0,0,1,,0,0,0,1
427,114,1,0,0,0,,1,1,1,1
428,114,0,0,0,1,,0,0,0,1
429,114,0,1,0,0,,0,1,1,1
430,114,0,0,1,0,,0,0,1,1
431,114,0,0,0,0,,0,0,0,0
433,114,0,0,0,0,,0,0,0,0
434,114,0,0,0,0,,0,0,0,0
435,114,0,0,0,0,,0,0,0,0
436,115,0,0,0,0,,0,0,0,0
437,116,0,0,0,1,,0,0,0,1
438,116,0,0,0,1,,0,0,0,1
440,116,1,0,0,0,,1,1,1,1
456,119,0,1,0,0,,0,1,1,1
457,119,0,1,0,0,,0,1,1,1
458,119,0,0,0,1,,0,0,0,1
459,119,1,0,0,0,,1,1,1,1
460,120,0,0,0,0,,0,0,0,0
461,121,0,0,0,0,,0,0,0,0
465,123,0,0,0,0,,0,0,0,0
467,124,0,0,0,0,,0,0,0,0
468,124,0,0,0,0,,0,0,0,0
469,124,0,0,0,0,,0,0,0,0
470,124,0,1,0,0,,0,1,1,1
471,124,0,0,0,0,,0,0,0,0
472,124,0,0,0,0,,0,0,0,0
473,124,1,0,0,0,,1,1,1,1
474,124,0,0,0,0,,0,0,0,0
475,124,0,0,0,0,,0,0,0,0
476,124,0,0,0,0,,0,0,0,0
479,124,0,0,0,0,,0,0,0,0
480,124,0,0,0,0,,0,0,0,0
481,124,1,0,0,0,,1,1,1,1
482,124,0,0,0,0,,0,0,0,0
483,125,0,0,0,0,,0,0,0,0
486,127,0,0,0,0,,0,0,0,0
487,127,0,1,0,0,,0,1,1,1
488,6,1,0,0,0,,1,1,1,1
489,127,1,0,0,0,,1,1,1,1
490,127,0,0,0,1,,0,0,0,1
492,127,1,0,0,0,,1,1,1,1
493,127,1,0,0,0,,1,1,1,1
494,127,0,0,0,0,,0,0,0,0
495,127,1,0,0,0,,1,1,1,1
496,128,0,0,0,0,,0,0,0,0
497,128,0,0,0,0,,0,0,0,0
498,128,0,0,0,0,,0,0,0,0
499,6,1,0,0,0,,1,1,1,1
501,128,0,0,0,0,,0,0,0,0
502,129,1,0,0,0,,1,1,1,1
503,129,1,0,0,0,,1,1,1,1
504,129,1,0,0,0,,1,1,1,1
505,129,0,0,0,0,,0,0,0,0
506,129,1,0,0,0,,1,1,1,1
507,129,1,0,0,0,,1,1,1,1
509,129,0,1,0,0,,0,1,1,1
510,6,1,0,0,0,,1,1,1,1
511,129,0,0,0,0,,0,0,0,0
512,129,1,0,0,0,,1,1,1,1
513,130,0,0,0,0,,0,0,0,0
514,131,0,0,0,1,,0,0,0,1
515,131,0,0,0,1,,0,0,0,1
516,131,0,0,0,1,,0,0,0,1
517,131,0,0,0,0,,0,0,0,0
518,131,0,0,0,1,,0,0,0,1
519,131,0,0,0,0,,0,0,0,0
520,131,0,0,0,1,,0,0,0,1
522,131,1,0,0,0,,1,1,1,1
523,131,0,0,0,1,,0,0,0,1
524,131,1,0,0,0,,1,1,1,1
525,131,0,0,0,1,,0,0,0,1
526,131,0,0,0,1,,0,0,0,1
527,131,0,0,0,1,,0,0,0,1
528,131,0,0,0,1,,0,0,0,1
529,131,0,0,0,0,,0,0,0,0
531,131,0,0,0,0,,0,0,0,0
532,6,0,0,0,0,,0,0,0,0
533,131,1,0,0,0,,1,1,1,1
534,131,0,0,0,1,,0,0,0,1
535,131,0,0,0,0,,0,0,0,0
543,6,1,0,0,0,,1,1,1,1
554,6,1,0,0,0,,1,1,1,1
566,6,1,0,0,0,,1,1,1,1
577,6,1,0,0,0,,1,1,1,1
588,6,0,0,0,0,,0,0,0,0
594,144,0,0,0,0,,0,0,0,0
595,145,0,0,0,0,,0,0,0,0
596,146,0,0,0,1,,0,0,0,1
599,6,0,0,0,0,,0,0,0,0
605,148,0,0,0,0,,0,0,0,0
606,148,1,0,0,0,,1,1,1,1
607,148,1,0,0,0,,1,1,1,1
609,148,0,0,0,1,,0,0,0,1
610,6,0,0,0,0,,0,0,0,0
611,148,1,0,0,0,,1,1,1,1
612,148,0,0,0,0,,0,0,0,0
613,148,0,0,0,0,,0,0,0,0
621,6,1,0,0,0,,1,1,1,1
624,154,0,0,0,0,,0,0,0,0
642,158,0,0,0,0,,0,0,0,0
643,8,0,0,0,0,,0,0,0,0
644,159,0,0,0,0,,0,0,0,0
645,160,0,0,0,1,,0,0,0,1
647,160,0,0,0,0,,0,0,0,0
648,160,1,0,0,0,,1,1,1,1
649,160,1,0,0,0,,1,1,1,1
650,160,1,0,0,0,,1,1,1,1
651,161,0,0,0,0,,0,0,0,0
652,161,0,0,0,0,,0,0,0,0
653,161,0,0,0,0,,0,0,0,0
656,161,0,0,0,0,,0,0,0,0
657,162,0,0,0,0,,0,0,0,0
658,163,0,0,0,0,,0,0,0,0
659,163,0,0,0,0,,0,0,0,0
660,163,0,0,0,0,,0,0,0,0
662,163,0,0,0,0,,0,0,0,0
673,165,1,0,0,0,,1,1,1,1
678,167,0,0,0,0,,0,0,0,0
686,169,0,0,0,0,,0,0,0,0
688,12,0,0,0,0,,0,0,0,0
690,172,0,0,0,0,,0,0,0,0
702,179,0,0,0,0,,0,0,0,0
703,179,0,0,0,0,,0,0,0,0
705,179,1,0,0,0,,1,1,1,1
706,179,0,0,0,1,,0,0,0,1
707,179,1,0,0,0,,1,1,1,1
708,179,0,0,0,0,,0,0,0,0
709,179,0,0,0,0,,0,0,0,0
710,14,1,0,0,0,,1,1,1,1
711,179,0,0,0,0,,0,0,0,0
712,179,1,0,0,0,,1,1,1,1
713,179,0,0,0,0,,0,0,0,0
714,179,0,0,0,0,,0,0,0,0
715,180,0,0,0,0,,0,0,0,0
716,180,0,0,0,1,,0,0,0,1
717,180,1,0,0,0,,1,1,1,1
719,180,0,0,0,0,,0,0,0,0
720,180,1,0,0,0,,1,1,1,1
732,14,1,0,0,0,,1,1,1,1
741,186,0,0,0,0,,0,0,0,0
743,14,0,0,0,0,,0,0,0,0
754,14,1,0,0,0,,1,1,1,1
765,15,0,0,0,0,,0,0,0,0
776,15,0,0,0,0,,0,0,0,0
786,195,0,0,0,0,,0,0,0,0
787,195,0,0,0,0,,0,0,0,0
788,15,0,0,0,0,,0,0,0,0
790,196,0,0,0,0,,0,0,0,0
791,197,1,0,0,0,,1,1,1,1
792,197,1,0,0,0,,1,1,1,1
793,197,1,0,0,0,,1,1,1,1
794,197,1,0,0,0,,1,1,1,1
795,197,0,0,0,0,,0,0,0,0
796,197,0,0,0,0,,0,0,0,0
797,197,0,0,0,0,,0,0,0,0
798,197,0,0,0,0,,0,0,0,0
799,15,0,0,0,0,,0,0,0,0
800,197,0,0,0,0,,0,0,0,0
802,197,1,0,0,0,,1,1,1,1
803,197,1,0,0,0,,1,1,1,1
804,197,1,0,0,0,,1,1,1,1
805,197,1,0,0,0,,1,1,1,1
806,197,1,0,0,0,,1,1,1,1
807,197,1,0,0,0,,1,1,1,1
808,197,1,0,0,0,,1,1,1,1
809,197,1,0,0,0,,1,1,1,1
810,15,0,0,0,1,,0,0,0,1
811,197,1,0,0,0,,1,1,1,1
812,197,1,0,0,0,,1,1,1,1
813,197,1,0,0,0,,1,1,1,1
814,197,1,0,0,0,,1,1,1,1
815,197,1,0,0,0,,1,1,1,1
816,197,1,0,0,0,,1,1,1,1
817,197,1,0,0,0,,1,1,1,1
819,199,0,0,0,0,,0,0,0,0
820,199,0,0,0,0,,0,0,0,0
821,15,0,0,1,0,,0,0,1,1
822,199,1,0,0,0,,1,1,1,1
823,199,1,0,0,0,,1,1,1,1
825,199,0,1,0,0,,0,1,1,1
834,202,0,0,0,0,,0,0,0,0
835,202,0,0,0,0,,0,0,0,0
836,202,1,0,0,0,,1,1,1,1
837,202,0,0,0,0,,0,0,0,0
838,202,1,0,0,0,,1,1,1,1
840,203,0,0,0,0,,0,0,0,0
843,15,0,0,0,0,,0,0,0,0
846,205,0,0,0,0,,0,0,0,0
847,205,0,0,0,0,,0,0,0,0
848,205,0,0,0,0,,0,0,0,0
850,205,0,0,0,0,,0,0,0,0
851,205,0,0,0,0,,0,0,0,0
852,206,0,0,0,1,,0,0,0,1
853,206,1,0,0,0,,1,1,1,1
854,15,0,0,0,0,,0,0,0,0
856,206,0,1,0,0,,0,1,1,1
857,206,1,0,0,0,,1,1,1,1
863,208,0,0,0,0,,0,0,0,0
865,15,0,0,0,1,,0,0,0,1
873,15,0,0,0,0,,0,0,0,0
874,16,0,0,0,0,,0,0,0,0
877,18,0,0,0,0,,0,0,0,0
878,18,0,0,0,0,,0,0,0,0
879,18,0,0,0,0,,0,0,0,0
880,18,0,0,0,0,,0,0,0,0
881,18,0,0,0,0,,0,0,0,0
883,18,0,0,0,0,,0,0,0,0
,,,,,,,,,,
,,,,,,,95,114,123,157
,,,,,,,0.294117647,0.352941176,0.380804954,0.486068111
